title,writer,publication,callno,href
슬픔이 주는 기쁨,"De Botton, Alain","서울 :청미래,2012",824 D287o정청,https://library.cau.ac.kr/#/search/detail/5658820
"예술가여, 무엇이 두려운가!","Bayles, David","서울 :루비박스,2012(2014 7쇄)",701.15 B358a임2,https://library.cau.ac.kr/#/search/detail/5649839
지금까지 알고 있던 내 모습이 모두 가짜라면?,"Hood, Bruce M","서울 :중앙북스,2012",155.2 H776s장,https://library.cau.ac.kr/#/search/detail/5637541
허삼관 매혈기 :위화 장편소설,여화,"파주 :푸른숲,2007(2015 36쇄)",812.3 여화허최3,https://library.cau.ac.kr/#/search/detail/5600426
진리와 방법 :철학적 해석학의 기본 특징들,"Gadamer, Hans-Georg","파주 :문학동네,2012(2014 3쇄)",121.68 G123w6한2 v.1/v.2,https://library.cau.ac.kr/#/search/detail/5600286
슈울멍 이야기,정채운,"광명 :작가와비평,2012",811.3 중앙대슈,https://library.cau.ac.kr/#/search/detail/5598700
한국해방 3년사 :1945-1948,이완범,"파주 :태학사,2007(2008 3쇄)",951.7 이완범한,https://library.cau.ac.kr/#/search/detail/5598253
"중국, 자본주의를 바꾸다",공고봉,"서울 :미지북스,2012",330.952 공고봉c하,https://library.cau.ac.kr/#/search/detail/5598054
남북한 관계론 =Perspectives on inter-Korean relations,심지연,"파주 :한울,2005(2012 5쇄)",320.951 경남대남,https://library.cau.ac.kr/#/search/detail/5598016
너의 마음이 궁금해 :한국 최초 애니멀커뮤니케이터에게 배우는 동물 교감법,박민철,"고양 :위즈덤하우스 :예담,2012(2014 5쇄)",636.0887 박민철너,https://library.cau.ac.kr/#/search/detail/5597429
전셋집 인테리어,김동현,"서울 :미호 :시공사,2012-2015",747 김동현전 v.1,https://library.cau.ac.kr/#/search/detail/5597201
러·한 단어장 =Russian Korean vocabulary =Русско-Корейский словарь для начинающих,전혜진,"서울 :문예림,2012",491.781 전혜진러,https://library.cau.ac.kr/#/search/detail/5519775
인생사용법 :소설들,"Perec, Georges","파주 :문학동네,2012(2014 2쇄)",843 P434v김,https://library.cau.ac.kr/#/search/detail/5519709
영어스피킹 기적의 7법칙 :예일대 유학생들이 뽑은 20년 연속 최고의 강의,"Vance, William A","서울 :이퍼블릭 :로그인,2012(2015 13쇄)",428.34 V222허,https://library.cau.ac.kr/#/search/detail/5519260
"역사 드라마로 읽는 성경 :현장체험 :역사가 뚫린다, 성경이 보인다",류모세,"서울 :두란노 :두란노서원,2012(2014 14쇄)",220 류모세역 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/5518868
도시농업 :도시농사꾼이 알아야 할 모든 것,전국귀농운동본부,"파주 :들녘,2011(2012 2쇄)",630.2 전국귀도,https://library.cau.ac.kr/#/search/detail/5443681
(그림으로 이해하는) 닥터 배의 술술 보건의학통계 =(An) illustrated guide to medical statistics using SPSS,배정민,"서울 :한나래아카데미,2012",610.727 배정민닥,https://library.cau.ac.kr/#/search/detail/5439073
(How to TOEFL® iBT) actual test :reading.1,위정아,"서울 :넥서스,2012",428.0076 위정아ar v.1,https://library.cau.ac.kr/#/search/detail/5432528
그리스 역사,Xenophon,"서울 :안티쿠스,2012",938.06 X5h최안,https://library.cau.ac.kr/#/search/detail/5432495
제인 패커의 플라워 코스 :쉽고 아름다운 플라워 디자인 테크닉,"Packer, Jane","서울 :CASA school :미호,2009(2014 9쇄)",745.92 P119j나,https://library.cau.ac.kr/#/search/detail/5419697
"새빨간 거짓말, 통계","Huff, Darrell","서울 :더불어책,2004(2015 17쇄)",519.5 H889h박,https://library.cau.ac.kr/#/search/detail/5419054
주먹이,이상교,"서울 :아이즐북스,2006",811.3 들춰보 v.10,https://library.cau.ac.kr/#/search/detail/5403725
겁 없이 거침없이 후회없이 :욕심 있는 여자들을 위한 자기 혁명,"Barsh, Joanna","서울 :흐름,2011",158.4082 B282h정,https://library.cau.ac.kr/#/search/detail/5389193
갈리아 원정기,"Caesar, Julius","고양 :숲,2012",937.05 C128c천,https://library.cau.ac.kr/#/search/detail/5389091
위대한 전시는 어떻게 탄생하는가? :최고의 큐레이터들이 답하다,"Marincola, Paula","파주 :미메시스,2011",707.4 M337w조,https://library.cau.ac.kr/#/search/detail/5388742
"멈추면, 비로소 보이는 것들 :혜민 스님과 함께하는 내 마음 다시보기",혜민,"서울 :쌤앤파커스,2012(2015 749쇄)",294.3444 혜민멈,https://library.cau.ac.kr/#/search/detail/5297023
(Rosen의) 재정학,"Rosen, Harvey S","서울 :한국맥그로힐,2011",336.73 R813p9이,https://library.cau.ac.kr/#/search/detail/5296882
(사료로 보는) 중국여성사 100년 :해방과 자립의 발자취,이양자,"파주 :한울아카데미,2010",305.40952 중국여중이,https://library.cau.ac.kr/#/search/detail/5256959
3030 English :데이트편 :하루 30분씩 30일이면 미국인과 데이트 할 수 있다,김지완,"파주 :김영사 ,2008(2014 10쇄)",428.34 김지완삼데,https://library.cau.ac.kr/#/search/detail/5256763
쿠키 한 입의 인생 수업,"Rosenthal, Amy Krouse","서울 :책읽는곰,2008(2015 25쇄)",808.83 작은곰 v.1,https://library.cau.ac.kr/#/search/detail/5255842
(KIF) 금융백서,한국금융연구원,"서울 :한국금융연구원, 2010-",332 한국금금백 2009/2010/2011/2012/2013/2014,https://library.cau.ac.kr/#/search/detail/5254436
"광고비 제로의 발상, 정보 크리에이티브",산전마사루,"서울 :커뮤니케이션북스,2011",659.1 산전마광이,https://library.cau.ac.kr/#/search/detail/5254329
액션러닝 코치입문 =Introduction to action learning coach :이론과 실제,송철범,"성남 :북코리아,2011(2014 2쇄)",658.3124 송철범액,https://library.cau.ac.kr/#/search/detail/5252938
(유수연의) 토익 필살기 :PART 5·6 문제집,유수연,"서울 :NEWRUN :웅진씽크빅,2011(2014 10쇄)",428.0076 유수연토웅p,https://library.cau.ac.kr/#/search/detail/5252650
(양진석의) 친절한 건축 이야기 :내 건축을 갖거나 여행 갈 때 꼭 읽어야 할 필독서,양진석,"고양 :예담 :위즈덤하우스,2011(2013 5쇄)",720.2 양진석친,https://library.cau.ac.kr/#/search/detail/5251909
몽골과 오랑캐 유목제국사,"Грумм-Гржимайло, Г. Е","서울 :민속원,2008",952.95 G887z김,https://library.cau.ac.kr/#/search/detail/5250648
스토리텔링으로 풀어보는 UX 디자인,김동환,"의왕 :에이콘,2011",005.15 김동환스,https://library.cau.ac.kr/#/search/detail/5249079
개혁교의학,"Bavinck, Herman","서울 :부흥과개혁사,2011(2014 7쇄)",230.42 B354g박 v.1/v.2/v.3/v.4/v.5,https://library.cau.ac.kr/#/search/detail/5246906
"나의 아름다운 비행 :조종실에서 바라본 세상, 그 특별한 이야기",신지수,"고양 :책으로여는세상,2011(2013 3쇄)",811.8 신지수나,https://library.cau.ac.kr/#/search/detail/5245289
(스무 살 무일푼에서 100억 슈퍼개미가 된) 이주영의 내공 주식투자,이주영,"서울 :다산북스,2011",332.6322 이주영이 v.2/v.3,https://library.cau.ac.kr/#/search/detail/5241014
애니멀 커뮤니케이터 :마음을 울리는 기적의 언어,"Kinkade, Amelia","서울 :루비박스,2011(2013 4쇄)",304.27 K71L박,https://library.cau.ac.kr/#/search/detail/5240838
공룡이 없다고？,"Johansen, Hanna","서울 :문학과지성사,2005",808.83 문지아이 v.66,https://library.cau.ac.kr/#/search/detail/5239157
(시나공) 新HSK :4급 완벽 대비 =Crack the exam! : HSK for level 4,리우,"서울 :길벗이지톡,2011",412.0076 리우신사,https://library.cau.ac.kr/#/search/detail/5238822
(임용고사를 위한) 해석학 =Analysis,유근식,"서울 :교우사,2011",515.076 유근식해,https://library.cau.ac.kr/#/search/detail/5237403
"미국의 공교육 개혁, 그 빛과 그림자","Ravitch, Diane","서울 :지식의날개 :한국방송통신대학교출판부,2011",null,https://library.cau.ac.kr/#/search/detail/5236973
(임상생리학) 뇌파 =Electroencephalogram,진복희,"서울 :고려의학,2011",616.8047547 진복희뇌,https://library.cau.ac.kr/#/search/detail/5236925
패션 시장을 지배하라 :시장을 사로잡는 패션 마케팅의 모든 것,정인희,"서울 :시공사,2011(2015 6쇄)",646.0688 정인희패시,https://library.cau.ac.kr/#/search/detail/5236850
보육 정책론 =Nursery policy,김익균,"파주 :교문사,2011",362.7 김익균보,https://library.cau.ac.kr/#/search/detail/5236556
창조와 타락 :창세기 1-3장에 대한 신학적 해석,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2013 2쇄)",230.044 디트리 v.3,https://library.cau.ac.kr/#/search/detail/5231245
(진순신) 이야기 중국사,진순신,"파주 :살림출판사,2011(2014 3쇄)",952 진순신중이 v.1/v.3/v.4/v.5/v.6/v.7,https://library.cau.ac.kr/#/search/detail/5231097
최신 행동수정,"Miltenberger, Raymond G","서울 :센게이지러닝코리아,2009(2013 6쇄)",153.85 M662b4안센,https://library.cau.ac.kr/#/search/detail/5217227
개들이 본 세상,"Cervantes Saavedra, Miguel de","서울 :시공사,2011",808.8 세계문시 v.9,https://library.cau.ac.kr/#/search/detail/5196333
백석전집,백석,"서울 :실천문학,2011(2014 4쇄)",811.08 백석백3,https://library.cau.ac.kr/#/search/detail/5196077
(마음을 읽어주는) 유쾌한 남녀 대화법,이정숙,"서울 :나무생각,2011",808.56 이정숙유나,https://library.cau.ac.kr/#/search/detail/5184038
미적분학 갤러리 :뉴턴에서 르베그까지 위대한 수학자들이 들려주는 미적분 이야기,"Dunham, William","파주 :한승,2011",515.3 D917c권,https://library.cau.ac.kr/#/search/detail/5184012
創作國樂 :경기도립국악단 창작국악 위촉 초연곡 모음집 =Collection of the premieres of new composition in Korean traditional music,이호준,"용인 :경기도국악당,2005.",780.951 경기도창 v.1/v.2,https://library.cau.ac.kr/#/search/detail/5166786
지구화 시대의 한국 시민사회,박재창,"홍천 :아르케,2011",369 박재창지,https://library.cau.ac.kr/#/search/detail/5135694
문화정책과 행정,박혜자,"서울 :대영문화사,2011",353.7 박혜자문,https://library.cau.ac.kr/#/search/detail/5124220
디지털 시대의 광고 미디어 전략,양윤직,"서울 :커뮤니케이션북스,2010",659.1 양윤직디,https://library.cau.ac.kr/#/search/detail/5123914
한눈팔기 :나쓰메 소세키 장편소설,하목수석,"파주 :문학동네,2011",808.8 세계문문 v.62,https://library.cau.ac.kr/#/search/detail/5116195
어두운 시대의 사람들,"Arendt, Hannah","고양 :인간사랑,2010",920.02 A681m홍,https://library.cau.ac.kr/#/search/detail/5060828
형사 실프와 평행 우주의 인생들,"Zeh, Juli","서울 :믿음사,2010",833 Z44c이,https://library.cau.ac.kr/#/search/detail/5051962
무협소설의 문화적 의미 =Cultural significance of the Korean knight-errant fiction,전형준,"서울 :서울대학교출판부,2003(2004 3쇄)",809.3 전형준무,https://library.cau.ac.kr/#/search/detail/4975196
아무도 아닌 자의 장미,"Celan, Paul","서울 :시와진실,2010",831 C392n제,https://library.cau.ac.kr/#/search/detail/4884795
딜타이 교육학 선집,"Dilthey, Wilhelm","서울 :지만지,2008",370.1 D579a손,https://library.cau.ac.kr/#/search/detail/4878771
동양과 서양의 위대한 만남 :1500~1800 :대항해 시대 중국과 유럽은 어떻게 소통했을까,"Mungello, David E","서울 :휴머니스트,2009",303.482 M966g2김,https://library.cau.ac.kr/#/search/detail/4843947
"(송동훈의) 그랜드투어 =Grand tour :동유럽편 : 혁명, 예술, 근대가 태어난 곳 러시아·오스트리아·독일을 가다",송동훈,"파주 :김영사,2010","914 송동훈그2 v.3, 914 송동훈그동",https://library.cau.ac.kr/#/search/detail/4837979
대사 :글로 쓴 텍스트에서 연출된 목소리로,"Vassé, Claire","서울 :이화여자대학교출판부,2010",791.43 V338d박,https://library.cau.ac.kr/#/search/detail/4837738
황장엽 회고록,황장엽,"서울 :시대정신,2010",320.092 황장엽황3,https://library.cau.ac.kr/#/search/detail/4827356
(켈러의) 경영경제통계학 :엑셀의 실전적 활용,"Keller, Gerald","서울 :센게이지러닝코리아,2009(2011 3쇄)",658.4033 K29s8이,https://library.cau.ac.kr/#/search/detail/4813282
"무서운 그림.3,위험한 진실의 명화들",중야경자,"서울 :세미콜론 :민음사,2010",750.11 중야경포이 v.3,https://library.cau.ac.kr/#/search/detail/4812816
(연극·영화로 떠나는) 가족치료,이선형,"서울 :시그마프레스,2010",616.89156 이선형가,https://library.cau.ac.kr/#/search/detail/4812549
안전보장의 국제정치학,함택영,"서울 :사회평론아카데미,2010(2015 3쇄)",null,https://library.cau.ac.kr/#/search/detail/4805973
헤겔의 미학강의,"Hegel, Georg Wilhelm Friedrich","서울 :은행나무,2010",701.17 H462v두 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/4754210
(조직 및 지역의 창조적 변화를 이끄는) 체계적 액션러닝 =Systematic action learning,박수홍,"서울 :학지사,2010(2013 5쇄)",658.3124 박수홍체,https://library.cau.ac.kr/#/search/detail/4721173
협력의 진화 :이기적 개인의 팃포탯 전략,"Axelrod, Robert M","서울 :마루벌 :시스테마,2009.",null,https://library.cau.ac.kr/#/search/detail/4702793
동시대 연출가론 :서구편 2,최영주,"서울 :연극과인간,2010",792.0232 최영주동 v.2,https://library.cau.ac.kr/#/search/detail/4701637
문화철학,"Каган, Моисей С","서울 :지식을만드는지식,2009",306 K11f이,https://library.cau.ac.kr/#/search/detail/4700875
클럽 오아시스 =Club Oasis :개도 안 물어가는 B급 싱글남의 마이너 라이프 실황 앨범,"Stuckrad-Barre, Benjamin von","파주 :나비장 :나비장책,2008",833 S932s송,https://library.cau.ac.kr/#/search/detail/4700482
인 아메리카,"Sontag, Susan","서울 :이후,2008",823 S699i임,https://library.cau.ac.kr/#/search/detail/4691750
애니메이션의 이해와 시나리오 창작 =Understanding and writing animation scenario,김교봉,"서울 :소명,2010",null,https://library.cau.ac.kr/#/search/detail/4688999
수화가 꽃피는 마을 :청각장애인 푸르네 가족과 어느 특별한 마을 이야기,"Teisson, Janine","서울 :한울림스페셜,2010(2014 8쇄)",843 T265e정,https://library.cau.ac.kr/#/search/detail/4684798
선인장 호텔,"Guiberson, Brenda Z","서울 :마루벌,1995(2014 28쇄)",808.83 마루벌 v.2,https://library.cau.ac.kr/#/search/detail/4678744
내 생명 앗아가주오 :앙헬레스 마스트레타 장편소설,"Mastretta, Ángeles","파주 :문학동네,2010",808.8 세계문문 v.26,https://library.cau.ac.kr/#/search/detail/4659937
(윤홍식의) 용호비결 강의 :정기신의 합일을 통해 신선에 이르는 길,정렴,"서울 :봉황동래,2009",613.7046 정렴용윤,https://library.cau.ac.kr/#/search/detail/4656107
(증보) 정본 이상문학전집,이상,"서울:소명출판,2009",811.08 정본이2 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/4647677
(기초) 커피 바리스타 =Coffee barista,전광수,"서울 :형설출판사,2008(2014 9쇄)",641.3373 전광수커,https://library.cau.ac.kr/#/search/detail/4645751
영국인 발견 :문화인류학자 케이트 폭스의 영국·영국문화 읽기,"Fox, Kate","서울 :학고재,2010(2013 4쇄)",390.0941 F792w권,https://library.cau.ac.kr/#/search/detail/4639713
신약성서의 통일성과 다양성 :초기 기독교 신학의 역사적 연구,"Dunn, James","서울 :솔로몬,2005(2010 7쇄)",225 D923u김,https://library.cau.ac.kr/#/search/detail/4633907
열하일기,박지원,"파주 :돌베개,2009(2014 8쇄)",811.96 박지원열김 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/4620047
마종기 시전집,마종기,"서울 :문학과지성사,1999(2014 6쇄)",811.1 마종기마,https://library.cau.ac.kr/#/search/detail/4477374
Fashion brand revolutionary evolution doctrine,권민,"서울 :유니타스클래스,2009",687.0688 권민f v.2,https://library.cau.ac.kr/#/search/detail/4476602
"사랑, 그 혼란스러운 :사랑을 믿는 이들을 위한 위험한 철학책","Precht, Richard David","파주 :21세기북스,2009",152.41 P923L박,https://library.cau.ac.kr/#/search/detail/4459069
파워포인트 디자인 클리닉 :무작정 따라하기 :파워포인트 2007 버전,이승일,"서울 :길벗,2009",005.58 이승일파길워,https://library.cau.ac.kr/#/search/detail/4458963
(내가 쓰고 싶은 기능이 모두 다 있는) Windows server 2008 바이블,"Crawford, Sharon","서울 :정보문화사,2009",005.4476 C899w,https://library.cau.ac.kr/#/search/detail/4450414
이야기와 문학적 삶,신동흔,"서울 :월인,2009",811.09 신동흔이,https://library.cau.ac.kr/#/search/detail/4448332
예술 문학 정신분석,"Freud, Sigmund","파주 :열린책들,2003(2009 8쇄)",150.1952 F889프로2 v.14,https://library.cau.ac.kr/#/search/detail/4446838
(SPSS PASW) 회귀분석 =Regression analysis,서혜선,"서울 :한나래아카데미,2009",519.536 서혜선회3,https://library.cau.ac.kr/#/search/detail/4443490
"약전으로 읽는 문학사.1,해방 전",근대문학100년 연구총서 편찬위원회,"서울 :소명출판,2008",811.09 근대문약 v.1,https://library.cau.ac.kr/#/search/detail/4420293
1Q84,촌상춘수,"파주 :문학동네,2009-2010(2013 쇄)",null,https://library.cau.ac.kr/#/search/detail/4419005
깨어나십시오 :깨달음의 영성,"멜로, 앤소니 드","왜관읍 :분도,2005",null,https://library.cau.ac.kr/#/search/detail/4396740
신의 달력 :장용민 장편소설 =Tzolkin :the calendar of god,장용민,"서울 :시공사,2009",811.3 장용민신 v.1/v.2,https://library.cau.ac.kr/#/search/detail/4396709
경영학의 이해,장경천,"서울 :三英社,2008",658 장경천경2,https://library.cau.ac.kr/#/search/detail/4396678
닷넷 프로그래밍 정복 :C#·윈폼·ADO,김상형,"고양 :가메,2008",null,https://library.cau.ac.kr/#/search/detail/4354404
현대대수학,"Fraleigh, John B","서울 :피어슨에듀케이션코리아,2009",null,https://library.cau.ac.kr/#/search/detail/4274912
타악기 =Percussion :작곡가를 위한 타악기 입문,백영은,"서울 :秀文堂,2007",786.8 백영은타7,https://library.cau.ac.kr/#/search/detail/4209513
추의 미학,"Rosenkranz, Johann Karl Friedrich","파주 :나남 :nanam,2008.",null,https://library.cau.ac.kr/#/search/detail/4207290
등록문화재 등록조사보고서,한국,"대전 :문화재청,2006 -",708.951 문화재등 2006/2007/2008/2011/2012/2013/2014,https://library.cau.ac.kr/#/search/detail/4194221
리바이어던 :만인의 만인에 대한 투쟁을 중단하라,"Hobbes, Thomas","파주 :서해문집, 2007(2014 5쇄)",null,https://library.cau.ac.kr/#/search/detail/4081165
말라르메를 만나다,"Valery, Paul","서울 :문학과지성사,2007",080 문지스 v.3-005,https://library.cau.ac.kr/#/search/detail/1335528
(Merchandiser에게 꼭 필요한) 섬유지식 =Textile science,안동진,"서울 :한올,2007(2014 4쇄)",677 안동진섬,https://library.cau.ac.kr/#/search/detail/1334150
"나, 그리고 그 밖의 것들","Sontag, Susan","서울 :이후,2007",823 S699i김,https://library.cau.ac.kr/#/search/detail/1332705
매듭법 =Rope work hand book,우근전치,"서울 :진선books :진선출판사,2007(2013 7쇄)",623.8882 우근전로진,https://library.cau.ac.kr/#/search/detail/1330570
(지속적 성장을 위한) 1등 기업의 법칙,"Reichheld, Frederick F","파주 :청림출판,2006",658.1554 R351u정,https://library.cau.ac.kr/#/search/detail/1319358
해방전후사의 인식,송건호,"파주 :한길사,2004(2006 쇄)",951.704 송건호해3 v.1/v.2/v.3/v.4/v.5/v.6,https://library.cau.ac.kr/#/search/detail/1314169
상담심리학의 이해,김남순,"서울 :교육과학사,2001",158.3 김남순상,https://library.cau.ac.kr/#/search/detail/1214824
유리 학사 :세르반테스 단편선,"Cervantes Saavedra, Miguel de","서울 :문학과지성사,2003",080 문지스 v.2-024,https://library.cau.ac.kr/#/search/detail/1211855
악령,"Dostoevskii, Fyodor Mikhailovich","서울 :범우사,2001-2002",808.8 범우비2 v.2-10/v.2-11/v.2-9,https://library.cau.ac.kr/#/search/detail/1210418
점·선·면 :회화적인 요소의 분석을 위하여 :칸딘스키의 예술론 II,"Kandinsky, Wassily","파주 :열화당,2000(2011 5쇄)",708.2 열화당미책 v.2,https://library.cau.ac.kr/#/search/detail/1158672
김윤식의 현대문학사 탐구,김윤식,"서울 :문학사상사,1997",811.09 김윤식김,https://library.cau.ac.kr/#/search/detail/1084491
(상황을 장악하고 상대를 간파하는) 질문력,장사아언,"서울 :웅진지식하우스 :웅진씽크빅,2008(2009 9쇄)",158.1 장사아허황,https://library.cau.ac.kr/#/search/detail/626574
새로운 사회과학방법론 :비판적 실재론의 접근,"Danermark, Berth","파주 :한울,2005(2009 3쇄)",300.72 D179e이,https://library.cau.ac.kr/#/search/detail/625117
간호이론가와 이론,"Marriner-Tomey, Ann","서울 :대학서림,2008",610.73 M359n6박 v.1/v.2,https://library.cau.ac.kr/#/search/detail/623585
"의료민영화 논쟁과 한국의료의 미래 :죽어도 아프지마라, 아프면 죽는다",이상이,"서울 :밈,2008",610 이상이의,https://library.cau.ac.kr/#/search/detail/621535
특허법,한국,"[고양] :사법연수원,19uu-",346.0486 사법연특 2008/2009,https://library.cau.ac.kr/#/search/detail/621290
아직도 가야 할 길,"Peck, M. Scott","서울 :열음사,2007",158.1 P367r신 2007,https://library.cau.ac.kr/#/search/detail/619182
정치학이해의 길잡이,한국정치학회 편,"파주 :法文社,2008",320 한국정정 v.1/v.2/v.3/v.4/v.5/v.6/v.7,https://library.cau.ac.kr/#/search/detail/619100
TCP/IP가 보이는 그림책 :국내 최초 그림으로 배우는 TCP/IP 프로그래밍 입문서,이영란,"서울 :BM성안당,2007(2015 7쇄)",004.62 A611t이2,https://library.cau.ac.kr/#/search/detail/617307
SAS 국제 공인 자격 시험 안내서,강창완,"파주 :자유아카데미,2008",519.50285 S252s강,https://library.cau.ac.kr/#/search/detail/613158
(디자이너를 위한) 디자인 기하학 :조화로운 비례와 구성의 비밀,"Elam, Kimberly","서울 :비즈앤비즈,2005(2013 3쇄)",701.8 E37g김,https://library.cau.ac.kr/#/search/detail/610254
알바 알토 =Alvar Aalto :거장이 연주하는 핀란드의 풍토,이등대개,"서울 :르네상스,2005(2013 2쇄)",720.94897 이등대아김,https://library.cau.ac.kr/#/search/detail/608407
(학교학습 효과를 위한) 교육심리학 =Educational psychology,임규혁,"서울 :학지사,2007(2015 16쇄)",370.15 임규혁교2,https://library.cau.ac.kr/#/search/detail/608043
사회적 지위가 건강과 수명을 결정한다,"Marmot, Michael","서울 :에코리브르,2006",null,https://library.cau.ac.kr/#/search/detail/607737
공간과 장소,"Tuan, Yi-Fu","서울 :대윤,2007(2011 2쇄)",114 T883s구2,https://library.cau.ac.kr/#/search/detail/604453
신뢰성 시험 분석 평가,정해성,"서울 :영지문화사,2007",620.00452 정해성신2,https://library.cau.ac.kr/#/search/detail/602672
환경심리와 인간행태 :친인간적 환경설계 연구,임승빈,"서울 :普文堂,2007",155.9 임승빈환,https://library.cau.ac.kr/#/search/detail/602319
사랑 두 글자만 쓰다가 다 닳은 연필 :이외수 명상집,이외수,"서울 :해냄,2007(2012 7쇄)",811.4 이외수이2,https://library.cau.ac.kr/#/search/detail/601531
한국어의 문법구조,유목상,"서울 :한국문화사,2007",411.5 유목상한한,https://library.cau.ac.kr/#/search/detail/595105
위기의 학교 :영국의 교육은 왜 실패했는가,"Davies, Nick","서울 :우리교육,2007",370.941 D256s이,https://library.cau.ac.kr/#/search/detail/594386
벚꽃 동산,"Chekhov, Anton","파주 :범우사,2007",891.72 C515v홍,https://library.cau.ac.kr/#/search/detail/592867
고도를 기다리며,"Beckett, Samuel","서울 :민음사,2000(2015 64쇄)",808.8 세계문민 v.43,https://library.cau.ac.kr/#/search/detail/591017
돈은 아름다운 꽃이다 :박현주 미래에셋 회장이 직접 말하는 돈과 인생이야기,박현주,"파주 :김영사,2007(2013 61쇄)",658.409 박현주돈,https://library.cau.ac.kr/#/search/detail/590470
국제재무관리론 =International financial management,최생림,"파주 :法文社,2004(2008 3쇄)",null,https://library.cau.ac.kr/#/search/detail/586195
코뿔소,"Ionesco, Eugene","서울 :東文選,2002",842 I64r박,https://library.cau.ac.kr/#/search/detail/577634
사회학이론,"Ritzer, George","서울 :한올,2006(2012 4쇄)",301.01 R614s5김,https://library.cau.ac.kr/#/search/detail/572986
살인의 해석 :제드 러벤펠드 장편소설,"Rubenfeld, Jed","서울 :비채,2007(2013 98쇄)",823 R895i박,https://library.cau.ac.kr/#/search/detail/568327
(새로쓴) 서양사 총론,차하순,"서울 :탐구당,2003-2005",null,https://library.cau.ac.kr/#/search/detail/556985
핑퐁 =Ping pong :박민규 장편소설,박민규,"파주 :창비,2006(2012 11쇄)",811.3 박민규핑,https://library.cau.ac.kr/#/search/detail/555982
(타타르키비츠) 美學史,"Tatarkiewicz, Wladyslaw","서울 :미술문화,2005-2014",111.85 T216h손 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/554696
"들뢰즈와 음악, 회화, 그리고 일반예술","Bogue, Ronald","서울 :東文選,2006",700.1 D348b사,https://library.cau.ac.kr/#/search/detail/553707
디지털통신과 MATLAB =Digital communication using MATLAB,양원영,"서울 :홍릉과학출판사,2005",621.382 양원영디홍,https://library.cau.ac.kr/#/search/detail/551295
"解放前後史의 認識.3,[정치.사회운동의 혁명적 전개와 사상적 노선]",박현채,"서울 :한길사,1987(2006 쇄)",null,https://library.cau.ac.kr/#/search/detail/548420
세계 명화 핸드북 755점 :테마별로 분류해서 보여주는 세계 명화 바이블,"Rowling, Nick","서울 :마로니에북스,2006",759 R884a박,https://library.cau.ac.kr/#/search/detail/543721
내려놓음 :내 인생의 가장 행복한 결심,이용규,"서울 :규장,2006",248.4 이용규내,https://library.cau.ac.kr/#/search/detail/542654
펭귄뉴스 :김중혁 소설집,김중혁,"서울 :문학과지성사,2006(2014 16쇄)",811.3 김중혁펭,https://library.cau.ac.kr/#/search/detail/537064
뇌파 검사학 =Electroencephalogram,김대식,"서울 :고려의학,2001",null,https://library.cau.ac.kr/#/search/detail/536818
변신,"Kafka, Franz","서울 :민음사,1998(2009 47쇄)",808.8 세계문민 v.4,https://library.cau.ac.kr/#/search/detail/532018
핀투여행기,"Pinto, Fernao Mendes","서울 :노마드북스,2005-2006",915 P659p이 v.1/v.2,https://library.cau.ac.kr/#/search/detail/531074
한국 속의 세계 :우리는 어떻게 세계와 소통해왔는가,정수일,"파주 :창비,2005(2009 5쇄)",null,https://library.cau.ac.kr/#/search/detail/530877
경매장 가는 길 :그림감정사 박정민의 행복한 뉴욕 경매일기,박정민,"파주 :아트북스,2005",702 박정민경,https://library.cau.ac.kr/#/search/detail/507546
한국형 디지털 스토리텔링 :'리니지2'바츠 해방 전쟁 이야기,이인화,"서울 :살림출판사,2005",081.1 살림지 v.200,https://library.cau.ac.kr/#/search/detail/506894
지도 밖으로 행군하라 =Marching off the map,한비야,"파주 :푸른숲,2005(2015 259쇄)",910.4 한비야지,https://library.cau.ac.kr/#/search/detail/506531
최순덕 성령충만기 :이기호 소설집,이기호,"서울 :문학과지성사,2004(2014 12쇄)",811.3 이기호최,https://library.cau.ac.kr/#/search/detail/501630
실천이성 :행동의 이론에 대하여,"Bourdieu, Pierre","서울 :東文選,2005",301.01 B769r김,https://library.cau.ac.kr/#/search/detail/493854
해방기 시의 현실인식과 논리,박용찬,"서울 :亦樂,2004",811.109 박용찬해,https://library.cau.ac.kr/#/search/detail/493577
한국현대문학비평사,김영민,"서울 :소명출판,2000(2002 쇄)",811.09 김영민한,https://library.cau.ac.kr/#/search/detail/482823
최고 인재 확보와 유지 전략,"Waterman, Robert H","서울 :북21 :21세기북스,2002",658.3111 W328h이,https://library.cau.ac.kr/#/search/detail/480034
돈키호테,"Cervantes Saavedra, Miguel de","서울 :시공사,2004(2014 33쇄)",863 C419d박,https://library.cau.ac.kr/#/search/detail/477816
한국문학사,김윤식,"서울 :민음사,1996(2003 쇄)",811.09 김윤식한2,https://library.cau.ac.kr/#/search/detail/455161
공산당선언,"Marx, Karl","서울 :책세상,2002(2014 21쇄)",335.422 M392m이,https://library.cau.ac.kr/#/search/detail/454934
