title,writer,publication,callno,href
"Probability, random variables, and random signal principles","Peebles, Peyton Z","New York, NY :McGraw Hill,2001.",null,https://library.cau.ac.kr/#/search/detail/426576
Selected writings,"Benjamin, Walter","Cambridge, Mass. :Belknap Press,c1996-",838.09 B468s v.1/v.2/v.2-2/v.3/v.4,https://library.cau.ac.kr/#/search/detail/369644
Signals & systems,"Oppenheim, Alan V","Upper Saddle River, N.J. :Prentice Hall,c1997.",621.38223 O62s2,https://library.cau.ac.kr/#/search/detail/360045
"A pattern language :towns, buildings, construction","Alexander, Christopher","New York :Oxford University Press,1977.",720.1 A375p,https://library.cau.ac.kr/#/search/detail/330835
From Max Weber :essays in sociology,"Weber, Max","New York :Oxford University Press,c1977.",301.045 W375g,https://library.cau.ac.kr/#/search/detail/311077
Encyclopedia of associations.International organizations,Gale Research Inc,"Detroit, Mich. :Gale Research :Thomson/ Gale,c1989-",R 060 E56 v.36 pt.1/v.36 pt.2,https://library.cau.ac.kr/#/search/detail/156820
Treatise on solid state chemistry,"Hannay, N. B",New York :Plenum Press[1973-76],541.0421 H243t2 v.1/v.2/v.5/v.6 pt.A/v.6 pt.B,https://library.cau.ac.kr/#/search/detail/120657
The One Show Advertising Annual,"One Club for Art & Copy (New York, N.Y.)","New York, N.Y. :One Club for Art & Copy,c1979-",R 659.1 O58 v.27/v.30/v.35/v.36,https://library.cau.ac.kr/#/search/detail/112781
Advances in carbohydrate chemistry and biochemistry,"New York,Academic Press.,19 -",null,null,https://library.cau.ac.kr/#/search/detail/85747
(송동훈의) 그랜드투어 =Grand tour :지중해편 : 문명의 시원을 찾아 그리스·터키·스페인을 가다,송동훈,"파주 :김영사,2012",914 송동훈그지,https://library.cau.ac.kr/#/search/detail/6993554
(이기적 in) 컴퓨터활용능력 :2급 필기,영진정보연구소,"서울 :영진닷컴,2015",004.076 영진정컴 2015,https://library.cau.ac.kr/#/search/detail/6977583
(초판본) 김기림 시선 :큰글씨책,김기림,"서울 :지식을만드는지식,2014",811.1 김기림김큰,https://library.cau.ac.kr/#/search/detail/6977576
(시나공 기출문제집) 사무자동화산업기사 필기,강윤석,"서울 :길벗,2014(2015 2쇄)",651.8076 길벗알사필기 2015,https://library.cau.ac.kr/#/search/detail/6977334
라스베이거스 홀리데이 =Las Vegas holiday :라스베이거스·미서부 국립공원,이미랑,"파주 :꿈의지도,2015",917.93 이미랑라,https://library.cau.ac.kr/#/search/detail/6976956
(한국말로 생각하고 영어로 말하는) 이것이 한국인에 딱 맞는 영어표현이다,이시원,"서울 :시원스쿨닷컴,2015",428.34 이시원이,https://library.cau.ac.kr/#/search/detail/6976588
(함께 이해하고 스스로 치료자가 되기 위한) 조현인지치료 =Cognitive therapy :청년 워크북,선자연,"서울 :학지사,2013",616.891425 선자연조,https://library.cau.ac.kr/#/search/detail/6976332
(글로벌시대의) 국제금융론,국제금융연구회,"서울 :經文社,2008(2014 6쇄)",332.042 국제금국경4,https://library.cau.ac.kr/#/search/detail/6946261
전주시집 :사부작사부작 걸음을 내딛게,이새보미야,"서울 :51BOOKS :오일북스,2014",915.199 이새보전,https://library.cau.ac.kr/#/search/detail/6946138
열자,열자,"서울 :지식을만드는지식,2010",181.243 열자열김,https://library.cau.ac.kr/#/search/detail/6946075
과학철학의 형성 :큰글씨책,"Reichenbach, Hans","서울 :지식을만드는지식,2014",501 R351r최큰,https://library.cau.ac.kr/#/search/detail/6943148
(선재국어) 서울시 SOS,이선재,"서울 :에스티앤북스,2014",411.076 이선재서 2014 v.1/2014 v.2,https://library.cau.ac.kr/#/search/detail/6943086
통일에 대한 기독교적 성찰 :증오와 배제의 논리를 넘어 포용과 화합의 마당으로,고재길,"서울 :새물결플러스,2014",327.51 한반도한 v.10,https://library.cau.ac.kr/#/search/detail/6943000
"수전 손택의 말 :파리와 뉴욕, 마흔 중반의 인터뷰","Sontag, Susan","서울 :마음산책,2015",828 S699s김,https://library.cau.ac.kr/#/search/detail/6941173
부동산금융론 :이론과 실제,김범석,"서울 :청목,2013",332.72 김범석부5,https://library.cau.ac.kr/#/search/detail/6940845
공조냉동기계 기사 :실기,김증식,"서울 :일진사,2015",621.56076 김증식공실 2015,https://library.cau.ac.kr/#/search/detail/6940239
(한 번으로 끝내는) HMAT 실전모의고사,류병주,"서울 :위포트,2015",658.31125 위포트h 2015,https://library.cau.ac.kr/#/search/detail/6940226
(2015) 20대 트렌드 리포트 :2015년 20대 소비자를 사로잡을 5가지 키워드,대학내일,"서울 :홍익,2014",658.8342 대학내이홍 2015,https://library.cau.ac.kr/#/search/detail/6940100
(초급) 스페인어강독 =Lecturas en español nivel básico,한국외국어대학교,"서울 :HUiNE :한국외국어대학교 지식출판원,2013(2014 2쇄)",468.64 한국외스3,https://library.cau.ac.kr/#/search/detail/6940073
비즈니스 모델 제너레이션 워크북 =Business model generation workbook :새로운 사업과 일을 구체화하는 혁신적 비즈니스 발상법,금진미수,"서울 :스펙트럼북스,2014",658.4012 금진미도김,https://library.cau.ac.kr/#/search/detail/6778464
(김중규) Speed 기출문제 :2015 선행정학 9.7급,김중규,"서울 :에드민,2014",351.076 김중규s 2015,https://library.cau.ac.kr/#/search/detail/6437532
시나공 기출문제집 :컴퓨터활용능력 1급 필기,강윤석,"서울 :길벗,2014(2015 2쇄)",004.076 길벗알시필 2015,https://library.cau.ac.kr/#/search/detail/6431778
